Gene_Name	nextprot_accession	primary_isoform	Ensembl_Accession	RefSeq_Accession	Uniprot_Accession	Chromosome	Start	End	n_neXtProt_entry	Protein_existence	PeptideAtlas_Category	nobs	Description	accession
SCP6	AT1G73270.1	AT1G73270.1		NP_001320213.1	Q9CAU0	1	27549021	27552517	1		canonical	18	 serine carboxypeptidase-like 6 	AT1G73270.1
P4H2	AT3G06300.1	AT3G06300.1		NP_566279.1	F4JAU3	3	1907744	1909675	1		canonical	42	 P4H isoform 2 	AT3G06300.1
Q940Y6	AT4G27600.1	AT4G27600.1		NP_567780.1	Q940Y6	4	13782753	13785005	1		canonical	15	 pfkB-like carbohydrate kinase family protein 	AT4G27600.1
Q9SX94	AT1G47610.1	AT1G47610.1		NP_175192.1	Q9SX94	1	17504836	17505891	1		canonical	4	 Transducin/WD40 repeat-like superfamily protein 	AT1G47610.1
PDI16	AT3G16110.1	AT3G16110.1		NP_188232.2	Q66GQ3	3	5460955	5463666	1		canonical	67	 PDI-like 1-6 	AT3G16110.1
PP284	AT3G56550.1	AT3G56550.1		NP_001319768.1	Q9LXY5	3	20952896	20954641	1		canonical	7	 Pentatricopeptide repeat (PPR) superfamily protein 	AT3G56550.1
FBK17	AT1G30090.1	AT1G30090.1		NP_564347.1	Q9C6Z0	1	10559746	10560942	1		canonical	2	 Galactose oxidase/kelch repeat superfamily protein 	AT1G30090.1
FLA10	AT3G60900.1	AT3G60900.1		NP_191649.1	Q9LZX4	3	22499573	22500841	1		canonical	75	 FASCICLIN-like arabinogalactan-protein 10 	AT3G60900.1
PPR6	AT1G03100.1	AT1G03100.1		NP_171809.1	Q9SA60	1	744026	746407	1		canonical	17	 Pentatricopeptide repeat (PPR) superfamily protein 	AT1G03100.1
	AT3G43980.1	AT3G43980.1				3	15778555	15779235	1		canonical	22	 Ribosomal protein S14p/S29e family protein 	AT3G43980.1
ATL67	AT2G46160.1	AT2G46160.1		NP_001324277.1	O82353	2	18963109	18963753	1		insufficient evidence	1	 RING/U-box superfamily protein 	AT2G46160.1
BH052	AT1G30670.1	AT1G30670.1		NP_174355.1	Q9SA82	1	10879311	10880188	1		not observed		 basic helix-loop-helix (bHLH) DNA-binding superfamily protein 	AT1G30670.1
PDI51	AT1G07960.1	AT1G07960.1		NP_001318951.1	Q8GYD1	1	2467681	2468831	1		canonical	17	 PDI-like 5-1 	AT1G07960.1
Q9LMG4	AT1G13940.1	AT1G13940.1		NP_001321537.1	Q9LMG4	1	4762703	4765923	1		canonical	43	 T-box transcription factor%2C putative (DUF863) 	AT1G13940.1
SCP33	AT3G17180.1	AT3G17180.1		NP_188343.1	Q9LSM9	3	5855861	5859157	1		canonical	6	 serine carboxypeptidase-like 33 	AT3G17180.1
Q9STH8	AT4G12330.1	AT4G12330.1		NP_192970.1	Q9STH8	4	7317776	7319658	1		canonical	6	 cytochrome P450%2C family 706%2C subfamily A%2C polypeptide 7 	AT4G12330.1
RH21	AT2G33730.1	AT2G33730.1		NP_180929.1	P93008	2	14265679	14267880	1		canonical	84	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 	AT2G33730.1
Q8RUZ7	AT2G25565.1	AT2G25565.1		NP_180127.1	Q8RUZ7	2	10884062	10885295	1		not observed		 C3HC4-type RING finger protein 	AT2G25565.1
Q9FGZ5	AT5G49490.1	AT5G49490.1		NP_199760.1	Q9FGZ5	5	20075328	20076185	1		not observed		 AGAMOUS-like 83 	AT5G49490.1
F4K8B2	AT5G15030.1	AT5G15030.1		NP_001190312.2	F4K8B2	5	4868103	4869043	1		not observed		 paired amphipathic helix Sin3-like protein 	AT5G15030.1
Q9FJS9	AT5G56840.1	AT5G56840.1		NP_200495.1	Q9FJS9	5	22980789	22982152	1		weak	1	 myb-like transcription factor family protein 	AT5G56840.1
F4HXG1	AT1G75160.1	AT1G75160.1		NP_177652.2	F4HXG1	1	28209534	28211624	1		canonical	8	 DUF620 family protein (DUF620) 	AT1G75160.1
PR19A	AT1G04510.1	AT1G04510.1		NP_563708.1	Q94BR4	1	1226749	1230592	1		canonical	77	 MOS4-associated complex 3A 	AT1G04510.1
KPL	AT5G63720.1	AT5G63720.1		NP_201177.1	Q9FFP2	5	25506349	25508017	1		not observed		 kokopelli 	AT5G63720.1
O22847	AT2G43320.1	AT2G43320.1		NP_001078045.1	O22847	2	17996874	17999158	1		canonical	18	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	AT2G43320.1
C71BU	AT3G53300.1	AT3G53300.1		NP_190898.1	Q9SCN2	3	19760525	19762234	1		canonical	35	 cytochrome P450%2C family 71%2C subfamily B%2C polypeptide 31 	AT3G53300.1
MYBC1	AT2G40970.1	AT2G40970.1		NP_181630.1	O22210	2	17097772	17098518	1		canonical	5	 Homeodomain-like superfamily protein 	AT2G40970.1
MYB11	AT3G62610.1	AT3G62610.1		NP_191820.1	Q9LZK4	3	23154758	23156371	1		not observed		 myb domain protein 11 	AT3G62610.1
NFYA2	AT3G05690.1	AT3G05690.1		NP_187220.1	Q9M9X4	3	1676922	1678324	1		canonical	4	 nuclear factor Y%2C subunit A2 	AT3G05690.1
FAD3D	AT5G05580.1	AT5G05580.1		NP_196177.1	P48622	5	1664331	1666345	1		canonical	16	 fatty acid desaturase 8 	AT5G05580.1
Q1PE01	AT5G04910.1	AT5G04910.1		NP_196111.2	Q1PE01	5	1437695	1438770	1		canonical	12	 DNA repair REX1-B protein 	AT5G04910.1
A8MQX9	AT4G22517.1	AT4G22517.1		NP_001078429.1	A8MQX9	4	11856810	11857157	1		canonical	6	 Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 	AT4G22517.1
A0A1P8AP74	AT1G63490.2	AT1G63490.2		NP_001320901.1	A0A1P8AP74	1	23544938	23552984	1		canonical	11	 transcription factor jumonji (jmjC) domain-containing protein 	AT1G63490.2
Q9SNB5	AT3G46630.1	AT3G46630.1		NP_190247.1	Q9SNB5	3	17181138	17182346	1		canonical	14	 DCL protein (DUF3223) 	AT3G46630.1
WTR1	AT1G01070.1	AT1G01070.1		NP_563617.1	Q5XEZ0	1	38898	40877	1		canonical	3	 nodulin MtN21 /EamA-like transporter family protein 	AT1G01070.1
FK120	AT5G48980.1	AT5G48980.1		NP_199709.1	Q9FI72	5	19860724	19861923	1		not observed		 Galactose oxidase/kelch repeat superfamily protein 	AT5G48980.1
Q8S8K5	AT2G35736.1	AT2G35736.1		NP_001189685.1	Q8S8K5	2	15023084	15023254	1		canonical	3	 hypothetical protein 	AT2G35736.1
MPK6	AT2G43790.1	AT2G43790.1		NP_181907.1	Q39026	2	18138477	18140693	1		canonical	59	 MAP kinase 6 	AT2G43790.1
Q1PF57	AT2G17080.1	AT2G17080.1		NP_179300.1	Q1PF57	2	7433326	7434117	1		not observed		 hypothetical protein (DUF241) 	AT2G17080.1
VIP2L	AT5G15070.1	AT5G15070.1		NP_001190313.1	Q84WW3	5	4876898	4885615	1		canonical	91	 Phosphoglycerate mutase-like family protein 	AT5G15070.1
CTU2	AT4G35910.1	AT4G35910.1		NP_567993.1	O65628	4	17008817	17011014	1		canonical	26	 Adenine nucleotide alpha hydrolases-like superfamily protein 	AT4G35910.1
Y3721	AT3G27210.1	AT3G27210.1		NP_566811.1	Q9LK32	3	10045458	10047222	1		canonical	20	 hypothetical protein 	AT3G27210.1
B9DGS8	AT1G14820.3	AT1G14820.3		NP_973831.1	B9DGS8	1	5105237	5106793	1		canonical	23	 Sec14p-like phosphatidylinositol transfer family protein 	AT1G14820.3
PUB37	AT2G45920.1	AT2G45920.1		NP_182116.2	Q683D5	2	18899363	18901097	1		not observed		 U-box domain-containing protein 	AT2G45920.1
Q9FGC3	AT5G35960.1	AT5G35960.1		NP_198445.1	Q9FGC3	5	14108524	14110536	1		not observed		 Protein kinase family protein 	AT5G35960.1
GRC13	AT2G47880.1	AT2G47880.1		NP_182309.1	O82255	2	19605124	19605432	1		canonical	3	 Glutaredoxin family protein 	AT2G47880.1
MBD8	AT1G22310.2	AT1G22310.2		NP_173650.3	Q9LME6	1	7881714	7883644	1		canonical	14	 methyl-CPG-binding domain 8 	AT1G22310.2
OP164	AT3G62880.1	AT3G62880.1		NP_191847.1	Q9LZH8	3	23245103	23246002	1		canonical	5	 Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein 	AT3G62880.1
TT8	AT4G09820.1	AT4G09820.1		NP_192720.2	Q9FT81	4	6182067	6186261	1		canonical	7	 basic helix-loop-helix (bHLH) DNA-binding superfamily protein 	AT4G09820.1
F4J3Q2	AT3G04490.1	AT3G04490.1		NP_187099.6	F4J3Q2	3	1200816	1209713	1		canonical	55	 exportin-4 protein 	AT3G04490.1
Q9LX80	AT3G46150.1	AT3G46150.1		NP_190201.1	Q9LX80	3	16949531	16950145	1		not observed		 hypothetical protein 	AT3G46150.1
Q8RXQ6	AT4G13820.1	AT4G13820.1		NP_193118.2	Q8RXQ6	4	8008535	8010694	1		subsumed by AT3G12145.1	1	 Leucine-rich repeat (LRR) family protein 	AT4G13820.1
DUS3L	AT4G38890.1	AT4G38890.1		NP_195600.2	Q9T0J6	4	18135909	18139100	1		canonical	79	 FMN-linked oxidoreductases superfamily protein 	AT4G38890.1
BFT	AT5G62040.1	AT5G62040.1		NP_201010.1	Q9FIT4	5	24922810	24923709	1		canonical	5	 PEBP (phosphatidylethanolamine-binding protein) family protein 	AT5G62040.1
F4IK77	AT2G06904.1	AT2G06904.1		NP_671793.1	F4IK77	2	2806625	2807368	1		not observed		 nucleic acid / zinc ion binding protein 	AT2G06904.1
Y5902	AT5G19025.1	AT5G19025.1		NP_001190335.1	P0C8Q9	5	6355220	6357083	1		indistinguishable to AT3G06180.1	1	 Ribosomal protein L34e superfamily protein 	AT5G19025.1
Q9FNE4	AT5G40340.1	AT5G40340.1		NP_198850.1	Q9FNE4	5	16131654	16134680	1		canonical	129	 Tudor/PWWP/MBT superfamily protein 	AT5G40340.1
Q8W472	AT3G22235.1	AT3G22235.1		NP_001154638.1	Q8W472	3	7854696	7855614	1		indistinguishable to AT3G22231.1	8	 cysteine-rich TM module stress tolerance protein 	AT3G22235.1
XTH21	AT2G18800.1	AT2G18800.1		NP_179470.1	Q9ZV40	2	8144947	8146265	1		canonical	20	 xyloglucan endotransglucosylase/hydrolase 21 	AT2G18800.1
F4IE40	AT1G26170.1	AT1G26170.1		NP_173942.2	F4IE40	1	9047539	9054438	1		canonical	44	 ARM repeat superfamily protein 	AT1G26170.1
RGP5	AT5G16510.1	AT5G16510.1		NP_197155.1	Q9FFD2	5	5393296	5394342	1		canonical	79	 Alpha-1%2C4-glucan-protein synthase family protein 	AT5G16510.1
PPR52	AT1G19720.1	AT1G19720.1		NP_173402.2	Q9FXH1	1	6819926	6822610	1		canonical	48	 Pentatricopeptide repeat (PPR-like) superfamily protein 	AT1G19720.1
P2C42	AT3G17090.1	AT3G17090.1		NP_001030714.1	Q0V7V2	3	5826984	5829327	1		canonical	12	 Protein phosphatase 2C family protein 	AT3G17090.1
OST1B	AT2G01720.1	AT2G01720.1		NP_178281.1	Q9ZUA0	2	317193	320016	1		canonical	53	 Ribophorin I 	AT2G01720.1
F4JGI4	AT4G05632.1	AT4G05632.1		NP_680611.1	F4JGI4	4	3001664	3002411	1		not observed		 hypothetical protein 	AT4G05632.1
Q0WPW2	AT5G51630.1	AT5G51630.1		NP_851172.1	Q0WPW2	5	20970069	20974666	1		canonical	7	 Disease resistance protein (TIR-NBS-LRR class) family 	AT5G51630.1
	AT5G10400.1	AT5G10400.1				5	3270478	3270888	1		identical to AT1G09200.1	51	 Histone superfamily protein 	AT5G10400.1
F4IZL5	AT3G62970.1	AT3G62970.1		NP_191856.4	F4IZL5	3	23270636	23272698	1		canonical	12	 zinc finger (C3HC4-type RING finger) family protein 	AT3G62970.1
EXO	AT4G08950.1	AT4G08950.1		NP_192634.1	Q9ZPE7	4	5740378	5741322	1		canonical	48	 Phosphate-responsive 1 family protein 	AT4G08950.1
DERL1	AT4G29330.1	AT4G29330.1		NP_194662.2	Q8VZU9	4	14444937	14446952	1		canonical	6	 DERLIN-1 	AT4G29330.1
F4ICW8	AT1G52343.1	AT1G52343.1		NP_001117472.2	F4ICW8	1	19494226	19495718	1		canonical	12	 transmembrane protein 	AT1G52343.1
F4JR37	AT4G30880.1	AT4G30880.1		NP_194817.2	F4JR37	4	15035229	15035750	1		canonical	17	 Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 	AT4G30880.1
Q494P1	AT5G25330.1	AT5G25330.1		NP_197915.1	Q494P1	5	8791564	8792664	1		weak	1	 Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein 	AT5G25330.1
Q9LES0	AT3G56880.1	AT3G56880.1		NP_191247.1	Q9LES0	3	21060044	21060781	1		canonical	3	 VQ motif-containing protein 	AT3G56880.1
F4HZ54	AT1G75590.1	AT1G75590.1		NP_565113.1	F4HZ54	1	28383250	28383714	1		not observed		 SAUR-like auxin-responsive protein family 	AT1G75590.1
GATA5	AT5G66320.1	AT5G66320.1		NP_201433.1	Q9FH57	5	26496208	26497309	1		canonical	3	 GATA transcription factor 5 	AT5G66320.1
GLO1	AT3G14420.1	AT3G14420.1		NP_001030694.1	Q9LRR9	3	4821804	4823899	1		canonical	253	 Aldolase-type TIM barrel family protein 	AT3G14420.1
RAN2	AT5G20020.1	AT5G20020.1		NP_197502.1	P41917	5	6762817	6764381	1		canonical	131	 RAS-related GTP-binding nuclear protein 2 	AT5G20020.1
F4K1T0	AT5G54620.1	AT5G54620.1		NP_001318799.1	F4K1T0	5	22187761	22189746	1		not observed		 Ankyrin repeat family protein 	AT5G54620.1
Q9FKQ5	AT5G65330.1	AT5G65330.1		NP_201336.1	Q9FKQ5	5	26110326	26111351	1		not observed		 AGAMOUS-like 78 	AT5G65330.1
Q9C581	AT5G22070.1	AT5G22070.1		NP_680193.2	Q9C581	5	7308255	7309343	1		canonical	7	 Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein 	AT5G22070.1
CRR58	AT5G41290.1	AT5G41290.1		NP_198945.1	Q9FHD4	5	16512326	16513500	1		canonical	8	 Receptor-like protein kinase-related family protein 	AT5G41290.1
SHGR2	AT1G31480.1	AT1G31480.1		NP_174433.2	Q8W5R2	1	11266225	11271527	1		canonical	58	 shoot gravitropism 2 (SGR2) 	AT1G31480.1
F4KBH7	AT5G29613.1	AT5G29613.1		NP_850896.1	F4KBH7	5	11280577	11281110	1		not observed		 hypothetical protein 	AT5G29613.1
TRE1	AT4G24040.1	AT4G24040.1		NP_194135.1	Q9SU50	4	12488242	12491060	1		canonical	51	 trehalase 1 	AT4G24040.1
TRXB3	AT2G41680.1	AT2G41680.1		NP_565954.1	O22229	2	17376349	17379028	1		canonical	67	 NADPH-dependent thioredoxin reductase C 	AT2G41680.1
PP144	AT2G02750.1	AT2G02750.1		NP_178378.1	Q1PFA6	2	771641	773482	1		canonical	7	 Pentatricopeptide repeat (PPR) superfamily protein 	AT2G02750.1
PIRL8	AT4G26050.1	AT4G26050.1		NP_194335.2	Q8RWE5	4	13210522	13213149	1		canonical	14	 plant intracellular ras group-related LRR 8 	AT4G26050.1
KTI2	AT1G72290.1	AT1G72290.1		NP_177373.1	Q9C7S6	1	27215852	27216499	1		canonical	24	 Kunitz family trypsin and protease inhibitor protein 	AT1G72290.1
NHD1	AT3G19490.1	AT3G19490.1		NP_566638.1	Q9LT68	3	6754875	6758127	1		canonical	17	 sodium:hydrogen antiporter 1 	AT3G19490.1
Q8L9W9	AT4G27652.1	AT4G27652.1		NP_567782.1	Q8L9W9	4	13809945	13810157	1		not observed		 hypothetical protein 	AT4G27652.1
Q9SKJ9	AT2G25500.1	AT2G25500.1		NP_565598.3	Q9SKJ9	2	10854652	10854948	1		subsumed by AT5G66550.1	1	 Inosine triphosphate pyrophosphatase family protein 	AT2G25500.1
OTU5	AT3G62940.2	AT3G62940.2		NP_001190165.1	Q9LYC7	3	23263106	23264245	1		canonical	65	 Cysteine proteinases superfamily protein 	AT3G62940.2
A0A1I9LRY8	AT3G62695.1	AT3G62695.1		NP_001327324.1	A0A1I9LRY8	3	23185929	23186129	1		not observed		 hypothetical protein 	AT3G62695.1
Q84MD3	AT5G47455.1	AT5G47455.1		NP_001154764.1	Q84MD3	5	19250805	19251665	1		not observed		 hypothetical protein 	AT5G47455.1
PAE8	AT4G19420.1	AT4G19420.1		NP_001319996.1	Q6DBP4	4	10587504	10589807	1		canonical	33	 Pectinacetylesterase family protein 	AT4G19420.1
Q9ZV42	AT2G18770.1	AT2G18770.1		NP_179467.1	Q9ZV42	2	8134984	8136360	1		canonical	20	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 	AT2G18770.1
F4IAG4	AT1G11740.1	AT1G11740.1		NP_172639.2	F4IAG4	1	3963317	3966824	1		subsumed by AT3G04470.1	1	 ankyrin repeat family protein 	AT1G11740.1
Q9C706	AT1G66460.1	AT1G66460.1		NP_176819.1	Q9C706	1	24789894	24791988	1		marginally distinguished	4	 Protein kinase superfamily protein 	AT1G66460.1
GLO4	AT3G14130.1	AT3G14130.1		NP_001327205.1	Q9LJH5	3	4685844	4687852	1		canonical	23	 Aldolase-type TIM barrel family protein 	AT3G14130.1
APA2	AT1G62290.1	AT1G62290.1		NP_001031219.1	Q8VYL3	1	23010107	23012681	1		canonical	159	 Saposin-like aspartyl protease family protein 	AT1G62290.1
Q1G3L5	AT3G25716.1	AT3G25716.1		NP_001118700.1	Q1G3L5	3	9373219	9373413	1		not observed		 transmembrane protein 	AT3G25716.1
XXT2	AT4G02500.1	AT4G02500.1		NP_567241.1	O22775	4	1101638	1103345	1		canonical	31	 UDP-xylosyltransferase 2 	AT4G02500.1
Q9S7X5	AT3G07730.1	AT3G07730.1		NP_001319496.1	Q9S7X5	3	2468185	2469606	1		canonical	7	 hypothetical protein 	AT3G07730.1
FB320	AT2G18780.1	AT2G18780.1		NP_179468.2	Q84V15	2	8136983	8138095	1		not observed		 F-box and associated interaction domains-containing protein 	AT2G18780.1
ERLL3	AT4G12500.1	AT4G12500.1		NP_192987.1	Q9SU33	4	7414369	7414902	1		subsumed by AT4G12480.1	3	 Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 	AT4G12500.1
BLH9	AT5G02030.1	AT5G02030.1		NP_195823.1	Q9LZM8	5	395754	398872	1		canonical	13	 POX (plant homeobox) family protein 	AT5G02030.1
WRK59	AT2G21900.1	AT2G21900.1		NP_850019.1	Q9SJ09	2	9334149	9336222	1		weak	1	 WRKY DNA-binding protein 59 	AT2G21900.1
PULA1	AT5G04360.1	AT5G04360.1		NP_001330089.1	Q8GTR4	5	1221566	1228399	1		canonical	77	 limit dextrinase 	AT5G04360.1
CP20A	AT5G58710.1	AT5G58710.1		NP_200679.1	Q9SP02	5	23717840	23719495	1		canonical	45	 rotamase CYP 7 	AT5G58710.1
A0A1I9LRU1	AT3G42850.2	AT3G42850.2		NP_001327277.1	A0A1I9LRU1	3	14940114	14945318	1		canonical	68	 Mevalonate/galactokinase family protein 	AT3G42850.2
Q1G3M6	AT3G11591.1	AT3G11591.1		NP_001118615.1	Q1G3M6	3	3663780	3663971	1		not observed		 bric-a-brac protein 	AT3G11591.1
F4K310	AT5G42635.1	AT5G42635.1		NP_680379.1	F4K310	5	17076227	17076725	1		not observed		 glycine-rich protein 	AT5G42635.1
Q9FKV3	AT5G44350.1	AT5G44350.1		NP_199248.1	Q9FKV3	5	17864628	17865632	1		not observed		 ethylene-responsive nuclear protein-like protein 	AT5G44350.1
Q9CAN7	AT1G63060.1	AT1G63060.1		NP_564808.1	Q9CAN7	1	23384105	23384887	1		canonical	14	 ribosome biogenesis NEP1-like protein 	AT1G63060.1
CAES	AT4G34215.1	AT4G34215.1		NP_567960.1	Q8L9J9	4	16380203	16381192	1		canonical	31	 carbohydrate esterase%2C putative (DUF303) 	AT4G34215.1
SPS3	AT2G34630.2	AT2G34630.2		NP_001031483.1	Q5HZ00	2	14578689	14581632	1		canonical	31	 geranyl diphosphate synthase 1 	AT2G34630.2
DEF67	AT2G25305.1	AT2G25305.1		NP_973531.1	Q3EBU2	2	10774621	10774976	1		not observed		 Putative membrane lipoprotein 	AT2G25305.1
SYRM	AT4G26300.1	AT4G26300.1		NP_194360.1	O23247	4	13308400	13313109	1		canonical	103	 Arginyl-tRNA synthetase%2C class Ic 	AT4G26300.1
G8IQH2	AT5G50080.2	AT5G50080.2		NP_001330901.1	G8IQH2	5	20365948	20366835	1		canonical	8	 ethylene response factor 110 	AT5G50080.2
RDR3	AT2G19910.1	AT2G19910.1		NP_179581.2	O82190	2	8595820	8600757	1		canonical	12	 RNA-dependent RNA polymerase family protein 	AT2G19910.1
CLE11	AT1G49005.1	AT1G49005.1		NP_683413.1	Q3ECU1	1	18128686	18128985	1		not observed		 CLAVATA3/ESR-RELATED 11 	AT1G49005.1
Q8VZH1	AT3G23530.1	AT3G23530.1		NP_188995.2	Q8VZH1	3	8437472	8442597	1		canonical	60	 Cyclopropane-fatty-acyl-phospholipid synthase 	AT3G23530.1
Q1G2Y4	AT1G10588.1	AT1G10588.1		NP_001077503.1	Q1G2Y4	1	3501276	3501655	1		canonical	6	 Gibberellin-regulated family protein 	AT1G10588.1
PPR33	AT1G11630.1	AT1G11630.1		NP_172629.1	Q9SAB4	1	3913168	3914385	1		marginally distinguished	6	 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT1G11630.1
PP273	AT3G49240.1	AT3G49240.1		NP_190493.1	Q9M3A8	3	18256086	18257975	1		canonical	97	 Pentatricopeptide repeat (PPR) superfamily protein 	AT3G49240.1
PYRC	AT4G22930.1	AT4G22930.1		NP_001327985.1	O04904	4	12019315	12021200	1		canonical	59	 pyrimidin 4 	AT4G22930.1
Q66GJ0	AT1G31410.1	AT1G31410.1		NP_174426.2	Q66GJ0	1	11247094	11249345	1		canonical	29	 putrescine-binding periplasmic protein-like protein 	AT1G31410.1
CUL1	AT4G02570.1	AT4G02570.1		NP_001031575.1	Q94AH6	4	1129315	1133435	1		canonical	92	 cullin 1 	AT4G02570.1
RH8	AT4G00660.1	AT4G00660.1		NP_191975.2	Q8RXK6	4	274638	277438	1		canonical	57	 RNAhelicase-like 8 	AT4G00660.1
NRP2	AT1G18800.1	AT1G18800.1		NP_564063.1	Q8LC68	1	6481466	6483463	1		canonical	54	 NAP1-related protein 2 	AT1G18800.1
Q9C669	AT1G26250.1	AT1G26250.1		NP_173949.1	Q9C669	1	9083903	9085234	1		not observed		 Proline-rich extensin-like family protein 	AT1G26250.1
Q9M1G2	AT3G45450.1	AT3G45450.1		NP_190131.1	Q9M1G2	3	16673146	16674880	1		canonical	27	 Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein 	AT3G45450.1
RZ22A	AT2G24590.1	AT2G24590.1		NP_180035.1	Q9SJA6	2	10449837	10450860	1		canonical	30	 RNA recognition motif and CCHC-type zinc finger domains containing protein 	AT2G24590.1
CP33	AT3G52380.1	AT3G52380.1		NP_190806.1	Q39061	3	19421619	19422855	1		canonical	77	 chloroplast RNA-binding protein 33 	AT3G52380.1
PCC1	AT3G22231.1	AT3G22231.1		NP_566702.1	Q94C26	3	7846080	7846563	1		indistinguishable representative	8	 pathogen and circadian controlled 1 	AT3G22231.1
LRL2	AT4G30980.1	AT4G30980.1		NP_001320095.1	Q8S3D5	4	15079489	15081606	1		canonical	7	 LJRHL1-like 2 	AT4G30980.1
TAF8	AT4G34340.1	AT4G34340.1		NP_567964.1	Q9SYZ9	4	16426771	16427832	1		canonical	16	 TBP-associated factor 8 	AT4G34340.1
Q6GKX4	AT5G24170.1	AT5G24170.1		NP_197805.2	Q6GKX4	5	8189744	8191355	1		weak	1	 Got1/Sft2-like vescicle transport protein family 	AT5G24170.1
Q94JV9	AT4G15140.1	AT4G15140.1		NP_567459.5	Q94JV9	4	8639683	8640261	1		weak	1	 hypothetical protein 	AT4G15140.1
A0A1P8AP46	AT1G43815.1	AT1G43815.1		NP_001320857.1	A0A1P8AP46	1	16582224	16582575	1		not observed		 hypothetical protein 	AT1G43815.1
F4JC74	AT3G13210.1	AT3G13210.1		NP_187927.1	F4JC74	3	4244921	4247697	1		subsumed by AT5G41770.1	19	 crooked neck protein%2C putative / cell cycle protein 	AT3G13210.1
CRK33	AT4G11490.1	AT4G11490.1		NP_192888.1	Q9LDN1	4	6978848	6981548	1		subsumed by AT3G45860.1	2	 cysteine-rich RLK (RECEPTOR-like protein kinase) 33 	AT4G11490.1
Q0WVH0	AT3G55510.1	AT3G55510.1		NP_567023.1	Q0WVH0	3	20579232	20582124	1		canonical	27	 Noc2p family 	AT3G55510.1
PIGM	AT5G22130.1	AT5G22130.1		NP_001332623.1	Q500W7	5	7337486	7339831	1		canonical	5	 mannosyltransferase family protein 	AT5G22130.1
O80643	AT2G39560.1	AT2G39560.1		NP_181488.1	O80643	2	16505124	16505825	1		weak	1	 Putative membrane lipoprotein 	AT2G39560.1
CPSF	AT1G30460.1	AT1G30460.1		NP_174334.2	A9LNK9	1	10771469	10775323	1		canonical	19	 cleavage and polyadenylation specificity factor 30 	AT1G30460.1
P2C40	AT3G16560.1	AT3G16560.1		NP_001325978.1	Q9LUS8	3	5636051	5637702	1		canonical	15	 Protein phosphatase 2C family protein 	AT3G16560.1
O49522	AT4G18540.1	AT4G18540.1		NP_193589.1	O49522	4	10221203	10223028	1		not observed		 transmembrane protein 	AT4G18540.1
Q9FN34	AT5G53920.1	AT5G53920.1		NP_200203.1	Q9FN34	5	21892124	21894087	1		canonical	7	 ribosomal protein L11 methyltransferase-like protein 	AT5G53920.1
GT14B	AT5G15050.1	AT5G15050.1		NP_197009.1	Q9LFQ0	5	4871820	4873454	1		canonical	18	 Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein 	AT5G15050.1
G2OX2	AT1G30040.1	AT1G30040.1		NP_001031112.1	Q9XFR9	1	10537769	10539570	1		canonical	10	 gibberellin 2-oxidase 	AT1G30040.1
O80701	AT1G61960.1	AT1G61960.1		NP_176387.1	O80701	1	22902239	22903612	1		canonical	34	 Mitochondrial transcription termination factor family protein 	AT1G61960.1
RGGB	AT4G17520.1	AT4G17520.1		NP_193485.1	O23593	4	9771496	9773313	1		canonical	169	 Hyaluronan / mRNA binding family 	AT4G17520.1
EIF3C	AT3G56150.1	AT3G56150.1		NP_001190102.1	O49160	3	20833790	20836820	1		canonical	197	 eukaryotic translation initiation factor 3C 	AT3G56150.1
GDPD2	AT5G41080.1	AT5G41080.1		NP_198924.1	Q9FLM1	5	16441858	16443835	1		canonical	25	 PLC-like phosphodiesterases superfamily protein 	AT5G41080.1
RLP39	AT3G24900.1	AT3G24900.1		NP_189134.1	F4J7T6	3	9099183	9101837	1		subsumed by AT3G25010.1	1	 receptor like protein 39 	AT3G24900.1
WNK3	AT3G48260.1	AT3G48260.1		NP_680105.1	Q9STK6	3	17873012	17875220	1		canonical	8	 with no lysine (K) kinase 3 	AT3G48260.1
PGR	AT5G19930.1	AT5G19930.1		NP_001190343.1	Q0WP96	5	6737872	6739283	1		canonical	4	 integral membrane protein (Protein of unknown function DUF92%2C transmembrane) 	AT5G19930.1
SP1	AT1G63900.1	AT1G63900.1		NP_176574.2	Q8L7N4	1	23717056	23719086	1		canonical	15	 E3 Ubiquitin ligase family protein 	AT1G63900.1
MY124	AT1G14350.1	AT1G14350.1		NP_001077534.1	Q94FL6	1	4908427	4910647	1		subsumed by AT2G02820.1	1	 Duplicated homeodomain-like superfamily protein 	AT1G14350.1
Q8LE63	AT4G11860.1	AT4G11860.1		NP_567383.1	Q8LE63	4	7134237	7138361	1		canonical	50	 FAM63A-like protein (DUF544) 	AT4G11860.1
